root,relative_path,size,lines,mtime,suffix,flags,sha1
源文件,".DS_Store",8196,0,2026-06-22 14:32:18,(none),"系统垃圾文件；非知识文档格式",5aedb698eabbcd85a4323823e45a1c21db9b813f
源文件,"00-知识库索引.md",8794,176,2026-05-14 16:16:19,.md,"索引导航文件",c7e9180f929a1d5b63c5604bbef7308e4ce01b12
源文件,"1-花火商学院（系统知识）.md",349351,6201,2026-04-20 17:25:50,.md,"超长源文件",cc2ae3ce8d9bd482922ff8215c441409a9aadc60
源文件,"2-舒老师-有情绪的文字.md",468508,4408,2026-04-21 10:59:01,.md,"超长源文件",3191a347db4c55aaad08b984f79e7d9040f6745d
源文件,"3-谈梦知老师.md",272135,933,2026-04-17 00:30:28,.md,"",bf00b1a9bdf004e9fc40d3fb072eb7383d0cce65
源文件,"4-知识类IP参考_PPT动画与封面设计.md",3707,101,2026-04-30 16:24:35,.md,"",21c0bce81da0998dda116e92181a71bb5c5cc56e
源文件,"5-喜欢的封面参考.md",2421,63,2026-04-30 17:08:45,.md,"",e6f6cc62eee4a0f6867debf995ea235d3dc3ca82
源文件,"7.Keynote-教程.md",14266,419,2026-05-05 17:49:59,.md,"",34df56e84998bc6550e36736780b50c1edf0ab93
源文件,"jian.md",1342,8,2026-05-14 16:16:35,.md,"命名不明候选",4f3fe633751e26014d611cefa93794db48b3691f
源文件,"安先生课程/00-Claude帮我消化知识点-提示词.md",11907,171,2026-06-06 22:41:32,.md,"AI中间加工稿候选；工具提示词候选",201392b0b089abf7c17ff22e60a042e03fdecde8
源文件,"安先生课程/01-把课程消化-Openclaw更新机制.md",11318,275,2026-06-07 07:39:16,.md,"",6ddef89cf29443587ebdf4695e632a9cdfff8426
源文件,"安先生课程/Claude帮我整理的.md",498079,8471,2026-06-20 13:33:17,.md,"AI中间加工稿候选；超长源文件",277b1d4ef2b30f5cde6a94cbbffa64ad72ca2e21
源文件,"安先生课程/第20节(骨架·6种推进)主流程升级+注解层补丁 · 2026-06-07.md",3907,74,2026-06-07 22:33:57,.md,"",d60aef44db488b08d0fbf8860ae5c6deb1a45402
源文件,"花火商学院/花火商学院_MOC.md",3361,98,2026-04-21 11:00:47,.md,"索引导航文件",45d465a0f626dcc74ea6115c77f001d4a5376fa0
神经元重塑,".DS_Store",8196,0,2026-06-23 11:18:52,(none),"系统垃圾文件；非知识文档格式",029467a1e6300c45de7c1c73373a646708344c08
神经元重塑,"4980课程素材清单-v0.5.md",81049,1420,2026-06-05 14:33:39,.md,"超长源文件",127e72ffda8351b776e9a9987d96f434bae86c12
神经元重塑,"IP-语言档案-模板.md",1929,72,2026-06-08 15:05:33,.md,"模板文件",57efe611aa9d05adf3cdbc68c04d00d340d99f22
神经元重塑,"jian.md",46862,86,2026-05-14 21:23:32,.md,"命名不明候选",08877eca6a1eed479b05327ebb4c2a43a3293a84
神经元重塑,"个人经验/.DS_Store",6148,0,2026-05-09 00:53:38,(none),"系统垃圾文件；非知识文档格式",e17fe63d6b67a341ac4b280e19ab979d09710e79
神经元重塑,"个人经验/个人经验索引.md",10778,126,2026-05-11 00:07:05,.md,"索引导航文件",9b29f3a5ba091a1864d373bb0551fb506c6405c5
神经元重塑,"个人经验/原子笔记/IP内核缺失诊断_三类情况与内容策略.md",3055,78,2026-05-11 00:06:18,.md,"",d02e6804e57adbd4dca4bed26e297f2dfbe6f5ea
神经元重塑,"个人经验/原子笔记/IP的灵性词汇不能删.md",723,24,2026-05-06 19:16:23,.md,"",614f6ba9c1963f81d1c35f808e16e491d5da9b8d
神经元重塑,"个人经验/原子笔记/三色交付体系.md",1002,24,2026-05-06 19:16:23,.md,"",b02de9ffed05dfcad3952fa33debbb47af69415f
神经元重塑,"个人经验/原子笔记/不擅长表达的客户用主题加提问把内容问出来.md",1584,37,2026-04-27 16:11:22,.md,"",a7f357251ab14cca572278992ce1cba34d240a63
神经元重塑,"个人经验/原子笔记/专业内容去术语化原则.md",2820,80,2026-04-29 17:59:33,.md,"",c06cfdc2c52df09a130c4aa602d0caeebbbd159b
神经元重塑,"个人经验/原子笔记/专业器械的家用替代物策略.md",1849,55,2026-04-29 17:58:02,.md,"",b2645d83bfb7ade3334b541b19aaf4213eba8c0c
神经元重塑,"个人经验/原子笔记/专业术语的双重表达法.md",1984,54,2026-04-30 17:04:36,.md,"",b0b0e3aab134c39220866c80531693a10dd91941
神经元重塑,"个人经验/原子笔记/人设反差写法公式_粗颗粒加高维度.md",2490,81,2026-05-09 00:55:29,.md,"",f05b9c783ca5f8c2e8fc2bffc307434ce38516ac
神经元重塑,"个人经验/原子笔记/企业咨询_加盟型企业诊断框架.md",827,25,2026-04-26 10:53:41,.md,"",a24af8a096d0f02bfa28b3dbe821aabc6e1de501
神经元重塑,"个人经验/原子笔记/企业咨询_团队规模与业务规模失衡诊断.md",684,24,2026-04-26 10:53:41,.md,"",1ff0c1c6fefd926d7a1a60294c0a9d4191c07b58
神经元重塑,"个人经验/原子笔记/企业咨询_顾问角色定位对齐.md",755,26,2026-04-26 10:53:41,.md,"",7f742703a0e6b4b769067c3659c8d42f67d44758
神经元重塑,"个人经验/原子笔记/体制内IP的内容边界处理.md",1912,49,2026-04-26 10:54:09,.md,"",c7efa95cff69023a7680a3440df40fce7758c92a
神经元重塑,"个人经验/原子笔记/健康类IP开头公式_先刺痛再自检再解决方案.md",1872,54,2026-04-29 17:17:59,.md,"",4560ba45b457b496e39ff13461a93f81da60e2bc
神经元重塑,"个人经验/原子笔记/健康类内容违禁词绕过策略.md",1695,48,2026-04-29 17:57:27,.md,"",8a8bcf25b9572a1756c4598bdf850f93fa6fc47a
神经元重塑,"个人经验/原子笔记/内容策略_四大内容柱与冷启动原则.md",2499,71,2026-04-26 10:54:09,.md,"",c70c10e58c9130948bbbfd2effaed1e4e5149366
神经元重塑,"个人经验/原子笔记/内心独白的使用风险.md",657,20,2026-04-26 10:54:09,.md,"",bb171c42c0e3885d9e0fa6410ef15133e60df2f7
神经元重塑,"个人经验/原子笔记/写短视频稿的第一步是确定受众.md",2129,49,2026-05-11 22:53:07,.md,"",673ebf7fd948c739b5a581d15c2abe253ff73e87
神经元重塑,"个人经验/原子笔记/剪辑Broll决策框架.md",4906,130,2026-06-23 11:18:52,.md,"",67375afe6c62815b44df1b5f35df110af2e68e39
神经元重塑,"个人经验/原子笔记/反常识开头_病态流行打破结构.md",2025,59,2026-04-29 17:58:39,.md,"",c8a2dfa7cded6f58b508c26dfef0a67005f6bffd
